category,sourcerow5type_option,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4D,MINERSOM,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,MINERSOM,AD,-999,kg N/year,BE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4D,MINERSOM,AD,-999,kg N/year,DK,40554491.63,30216697.59,89108854.5,13940061.44,45183714.43,31178325.92,6917090.63,31389060.59,15778816.06,43430682.67,26589944.46,22995474.97,65037337.14,33541039.51,28753531.79,27350490.39,55899534.86,49576199.19,37200886.06,14221696.76,31788955.5,27346495.73,17380811.24,36041429.44
4D,OMANSOILS,AD,-999,kg N/year,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,AD,-999,kg N/year,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,INFOEF,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,EM,N2O,kt,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,EM,N2O,kt,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,IEF,N2O,kgN2O-N/kgN,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,IEF,N2O,kgN2O-N/kgN,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OMANSOILS,-999,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OORGFERT,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OORGFERT,EM,N2O,kt,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OORGFERT,EM,N2O,kt,DK,0.024027143,0.042931429,0.047504286,0.071012857,0.070714286,0.070714286,0.072757143,0.070934286,0.0803,0.068577143,0.080881429,0.114305714,0.094992857,0.07568,0.056382857,0.03707,0.044895714,0.043858571,0.054041429,0.062102857,0.053444286,0.054591429,0.068451429,0.072222857
4D,OORGFERT,IEF,N2O,kgN2O-N/kgN,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OORGFERT,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,OORGFERT,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OORGFERT,AD,-999,kg N/year,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,OORGFERT,AD,-999,kg N/year,DK,1529000,2732000,3023000,4519000,4500000,4500000,4630000,4514000,5110000,4364000,5147000,7274000,6045000,4816000,3588000,2359000,2857000,2791000,3439000,3952000,3401000,3474000,4356000,4596000
4D,SEWAGE,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SEWAGE,EM,N2O,kt,BE,0,0,0,0,0.007108994,0.007563711,0.008719559,0.010455402,0.009230934,0.006727215,0.007596658,0.007344333,0.006210647,0.008212951,0.00684026,0.006514928,0.005747553,0.006085915,0.009570158,0.008292162,0.010024723,0.010904449,0.010904449,0.010904449
4D,SEWAGE,EM,N2O,kt,DK,0.04895,0.050395714,0.060452857,0.07755,0.069865714,0.072835714,0.071421429,0.062432857,0.058928571,0.057655714,0.056964286,0.055282857,0.056571429,0.049515714,0.042035714,0.034147143,0.035875714,0.034052857,0.03762,0.046812857,0.042302857,0.040731429,0.038814286,0.03861
