categorysource,measuregas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4ABUFF,EMCH4,Gg,DE,-999,-999,-999,-999,-999,-999,0.00341,0.010175,0.01694,0.02365,0.03531,0.034375,0.041525,0.04917,0.056155,0.065285,0.07282,0.084755,0.098615,0.116105,0.12991,0.1474,0.155595
4ABUFF,EMCH4,Gg,DE,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,
4ABUFF,EMCH4,Gg,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,GR,0.045485,0.047593333,0.050031667,0.045503333,0.042056667,0.038995,0.040755,0.04378,0.046383333,0.049811667,0.052451667,0.055146667,0.057621667,0.062773333,0.066678333,0.071793333,0.073608333,0.087926667,0.095446607,0.10030996,0.10495506,0.110955298,0.116955536
4ABUFF,EMCH4,Gg,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,HU,0.0055,0.0055,0.0055,0.0055,0.0055,0.011,0.0165,0.022,0.0275,0.033,0.0385,0.044,0.0495,0.055,0.0605,0.066,0.0715,0.077,0.075166667,0.081125,0.138875,0.201575,0.18425
4ABUFF,EMCH4,Gg,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,IT,5.946419779,5.338895475,6.564717255,6.728166814,7.22596303,9.551248715,10.90721412,10.34158525,11.76240383,13.24470281,12.82709262,13.51460094,12.60921829,15.02042311,14.64465126,14.82009884,16.35595843,20.06394006,20.52203749,22.36600815,23.61713436,23.2467099,22.92968407
4ABUFF,EMCH4,Gg,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
